Address,Transaction ID,Total Committed Amount in Algo
BTV72TLOGSJHTWKSVMKUFUFJU2M6QJWMDUOMO4RCC42ALTF2HIKW6DQPDU,AKGUALI6DCBZNLOBNXRXST2HWC7RDYA5P2UVOEY6KHDWKDK5E43A,15083903800
E35JOG2PKKPNVVC66ZUKUO2WG5ULJ2AENFFDUGDBEVNGHI6FBEVF6OPKAY,T2C762L6IL7SIMHE6B2VSZ7SN5ITBL4YOMPNPCG2LGZBJIRM6OWA,50000000000
EE5FCRC2ERE7CDG6CW3QATJ46ERG7E4SHEIUCLJVZMTZOUFE643GECWD6Q,M35OVBII6F7S6YGF7GKMFOXLAKNQR2U2YJPENEQ2VELT6H3OKEUA,1122037508
D4UCJ3UY2C4KE5DMBMMCGPFD6HWQSY4RBOOU6GZZ73TOKFNCLUSVDY3EXQ,6FXSRT27IQ6XUG22B3SO2W4PXCPAIJOBCSOA2J3JRCIKHO6VNY6A,4511249998
MQWD6RCCFTRHSMHY7VY74MJPR53ZYPSWH7YQ3V3DJJWIGTXJCZAGQ5IHYY,YBL5A2NJYUYXVTTTCSUIXVLGTBDL4YS2YOHJBEK5LOU5IDPF3CCQ,10281804799
N4KJNUHNFHNJ2EUKYGZS5KFEZ3BPVCXXXI36KSDBJ6BOEMSXITYWC37HBA,Z6LCHTCOSUDS27BOLR2GQB3BMDRQ7LHTGKPYU4AESVMMT3YWYRDQ,114659413097
X5KD3VTDUN3H2FFYJX2NDIGQ2V2SS44XUSYGJWHI4KH6ZOXF44SE7KEXVU,JRPPQBT5LYDGSOYWAUOIVQHTRYRAFXYAVSKRURE2M44U62GASMQA,146931634
O5BWJF3DVPPUWOUVBH6HMYCNVIEJKTHGY7UDHUJ65JSPPE5QK2NE4SWQTE,J2MKVECDTX32HJGBY5YEPEYS4BMTBXJODFXOZTH2R73PBPVUVZQQ,30000000
P6WUIHYIWYX65SG57BPUCW3SE6HHT5CBPVY37AERJO4JIL3MYMMR5PU7TU,52DMXASFL57BVBOMBBBFZK7JXCPRQIA4RQJULSLIOLO54EO7P5RQ,19939659999
RA7QMWV4OXIS7X7GMWR3L2YZGOBFHGBI3R6FMA2N7I5PAIBQXJSDZKI5YQ,34QDPLMAAOBB3CPYYN3IOWQ3US7X5JM3ASEG2R3ELKDMHPCXWXQQ,28535661415
C3DQJVL6ZVGL6MZ6JBDBEKYEXRV5NCPZYJUJ3BLRDK6V7ETKYC6NO6HOPA,SK7UESF5FJV6ZQQA3FOFWI3T2SOUITZ63JI7D65QHXKLZEYCWM6Q,175000000
ONTCQUBTVMBHXBF3JHRIRTLI2OHZZF5FOH5NO4R66OXNVAW3XDMPTZRHAY,3HTMHS3WOYTUPOPXCSEWTXNHTCIAJIFNMIOHGOZXEJASTEDW5T4A,453901614
KR65SJWGRPWFXE2F3XTZ5UPNCR2ALGOULGM5UFH2KHDOHOIDAUCNUZDFWQ,6H5R6Q7HGNX5JCKZ6VXDAREO45JH5HPDC55QQW7RKQGSTPMDBUUQ,208800000000
ECQB5WKW2BEAM6GDYINJYFNUPGRROVZTRP6CX4WAUWZL6H7GX4QKOV5SME,SI5CDTTUFJL2BICXFKOOMXZ7FM66DALIQSU2WP7FWVGKC5WTZRAA,12753434315
JVGFI5653YQIJ3DJPFDT3BH46S33OPQ6LMGFBMC6MWBZM2JVC7M6PBWBKU,AO457W7TOON6EKQ7HX7M52RFWY2UT2VADFN4JFJVSVHVZ5QHROCA,204005701643
KRMX5F6VGU5JSKXP6DGXXCZ56GSSPAHO6ULFGMPDLH7CY4IH2N27TACFKU,7A7JIHW34MUROTT4GQRKUJJN42AROZKM773FJLVD6UX5PKRROZQA,3568237151
MINTPIDR4NKZVHL6LB7ETVW35IZKXEV4U7D4LWFXVMKWSNGE4AZ6EYFAJA,OAWKEAUMDSAI3VKGVUHT2L3KCBLY7BGZYNF5OINLUNCVOS5ZCUFQ,5000000
SIMAHQAOASVV4ORQOOXL3RAQ7KJUGXFDMWMUOAZ5VIAZD2XVMGCZWI45KM,KPUHVSFIPXUF2WVL4J6DKNGVLI73SZBI2TYYI5DYLW7GE7J7AJ6A,2058272139
GQRFIB3V7ZNTBFLGM6FHSFNRUOCZLS26NBJBD65YHG7DCSX7QTY2EE5RME,PU7FVSB4YWAGDNTRGFZAZWMZXBGKBEMOXIE552RMF3LGWTCGU7IQ,10000000
XC6AU3RMJP3VRBSGOZU2XWXY4HBZHASCZVHNJIUQDGH3RTHKLMJ3IZ72ZU,XTKTJXDURDMQITSNUC3FAFOGPQOVPLW7GURBFSSJK7V46D564KZA,1000000
BHHF6QTNCUX3XQW6UGXBZIPXEUHN6HLLFSY4D6IRKAWPT7BVU4FXQABSI4,Z55FKDLOYDGLMUS47N4FV2Q3CUII36G5OO5PGEDJ7SW6K2DJZTXQ,83000000000
ONQMHFRJYQXJ2MDRYVORFHPUBYQ7ZAMZQOEPZWAJI553S652XUK7Y6BR3A,N4SLUPF7NTARX72WAAP6LQ2DDM5PJKFJGLH4TNAOW2Q3F6TO4IVA,11128173060
CRJV2WKCTAUI3R2NYWVNP2OX5ZT6MDN7YUGXD6XLDQ4AYAJNNUR2AUTE7M,3B5URAMQ4JQHLCIDMNSEN6LJNHML2PVHJUEAEOA6CWBI5RI7AN6A,49849403
BMG2OPCDNEVFG5LW4S6GT33PPEWXVJD7XEDLTED4BFWN5M4HXLZNCK3EWY,A5DP6AMP23PA535EGG452FGYEFWIFIMTX3PCTMVNHLSDZG2NY6PQ,20000000000
5M4VJ6BQI2KPKZG2KM4TV4FDU76KAJYU6456YZQHK4Y6FFXRPNP3EPRM7A,XOU6ILWCWAKA2BZN6ATVXTD7V5OUJCZL25F5DHCZ52M5PU2S6UEA,31875102035
KY7UXYQAN264YD24Y4YUYTGVZLRS7AHX6N6N7AF2OYK22DSOJ27GET2NYY,3AJB6YRPQ7HAQHEP5GAV6GDNKXJTHO3HZT5QAMO6VGJCJQDMJ4LQ,130000000000
M74Z2DMI2FVYOTTLKK4X54PPSJUUNAG2WDIJ6ZDLVGSRNIVBHSKS5MG5C4,T27EYBN7JJ5S6FCO4O35WJLXPXIPYNXXKOTHKCZVK356MH3UESAQ,2000000
HS4UDE2JA2VLAL3HWXC3QJMCG4XCINHQFFCXH2JXCHYWAHLWEAKY26Z2SI,CVWQJVUBC2CUOYFJF4B5YWKVQK2SGXJFOGCPNET743IN5FVBQO4A,1899915072
R2BPRCZNWG6NZPZFZP36DBSDPKSGUFMWVBHHBHOLZR65X2E5ZZLC4PHSSQ,LF7KXV7UL2LK27C3WWWB3RI7BBWP2XUVSLZED726KORVOJODH5SQ,972621140835
VIBZIL3UAPF66S2DID4XNIMVE3AQSGFWY3MJLPMEQMUFGJ63OAYO7FGTUY,KH5OF3YXQWJKEVFVJ3S36ZAJAMEYPTFNLAUHALMF5SD2CBW33KOA,30180313
A5KGIDDIIJCH62OARZ4UUHDYGF5DM7XRNNRRWDP3JEEWPPXWQLPFP2QXDY,DJ4NTKKD4H6IT7XRYEIABY7EJ7H365VGPWXF3YRU5G3WUZ25K3XQ,10646090453
22ZC7F62Z3HXFP6FU3TRNF4VWXXNT44RCOEPQMGYDJFODXCNUKQLQTUGMI,PD4MZNQIJ2LMXV45T5DX7IJNDKJRPHXM7KROY7RF62RZFYZLVHBQ,4343436874
VLRA5ZZCV56D24PX4HJMA4KK7O6F62RWBETRXPXX6745AQC3BAT3FDKHRQ,C3TUZFO7FHX3XKFMVR42QSS2GGSNFFNE67DI37Y4RCFJCXHBWIOA,19000000
IQKDCMQ3ESXY2AG6XPI7CT3VRSJ5BWLXYWT334KRXSJPCRF4UGW2DJJFYU,3DTS35WP5FCG7B5LOH5S62XJ4HWK3MBD7PN7JOUXFGNP7VKNKPRQ,97751149
FISHERMANBPAHXQJEBJNIMMTBVNCOTXG6TUHYXQNE64FEJRVDTO3E3A43E,U7BNF46OOBPTMCFSAREHBXFTTM5UB72PGUALV3TS6MLE3XRWKO5A,1196804820
555EBDB7FCDMKZ2PRYUX3G2IWKU3I2HZG46TVTLFZ37VO55L4KIEKXB454,THH3X64OTOXWKU3O5RC2ICUOZAWHYG4LVRQSVYHYIHNR7LAZU6BA,11964885303
AHJAWACFKXK5L3P2S6BKTC35MSAO7BKFQZILO3A3HUXAMKVYWCQ2AV4KR4,CIX4FFTRZEAAMXBAKQYACFNO554PYOLXJBI56E4QQBUAXSEY7KTA,600000
BHJOWNB55AQOZZ6R3C3JYTJZM44WEK3ZVCSJP4XPV4CGBNAQR5TDYGVP7Q,X4JGXPMPCX3P3BOWVL5WE2PLOOVYIBUJEU7R7HLUEPJ4UUA4YC6Q,393000000000
