Address,Transaction ID,Total Committed Amount in Algo
BTV72TLOGSJHTWKSVMKUFUFJU2M6QJWMDUOMO4RCC42ALTF2HIKW6DQPDU,AKGUALI6DCBZNLOBNXRXST2HWC7RDYA5P2UVOEY6KHDWKDK5E43A,15083903800
E35JOG2PKKPNVVC66ZUKUO2WG5ULJ2AENFFDUGDBEVNGHI6FBEVF6OPKAY,T2C762L6IL7SIMHE6B2VSZ7SN5ITBL4YOMPNPCG2LGZBJIRM6OWA,50000000000
EE5FCRC2ERE7CDG6CW3QATJ46ERG7E4SHEIUCLJVZMTZOUFE643GECWD6Q,M35OVBII6F7S6YGF7GKMFOXLAKNQR2U2YJPENEQ2VELT6H3OKEUA,1122037508
D4UCJ3UY2C4KE5DMBMMCGPFD6HWQSY4RBOOU6GZZ73TOKFNCLUSVDY3EXQ,6FXSRT27IQ6XUG22B3SO2W4PXCPAIJOBCSOA2J3JRCIKHO6VNY6A,4511249998
N4KJNUHNFHNJ2EUKYGZS5KFEZ3BPVCXXXI36KSDBJ6BOEMSXITYWC37HBA,Z6LCHTCOSUDS27BOLR2GQB3BMDRQ7LHTGKPYU4AESVMMT3YWYRDQ,114659413097
X5KD3VTDUN3H2FFYJX2NDIGQ2V2SS44XUSYGJWHI4KH6ZOXF44SE7KEXVU,JRPPQBT5LYDGSOYWAUOIVQHTRYRAFXYAVSKRURE2M44U62GASMQA,146931634
O5BWJF3DVPPUWOUVBH6HMYCNVIEJKTHGY7UDHUJ65JSPPE5QK2NE4SWQTE,J2MKVECDTX32HJGBY5YEPEYS4BMTBXJODFXOZTH2R73PBPVUVZQQ,30000000
RA7QMWV4OXIS7X7GMWR3L2YZGOBFHGBI3R6FMA2N7I5PAIBQXJSDZKI5YQ,34QDPLMAAOBB3CPYYN3IOWQ3US7X5JM3ASEG2R3ELKDMHPCXWXQQ,28535661415
C3DQJVL6ZVGL6MZ6JBDBEKYEXRV5NCPZYJUJ3BLRDK6V7ETKYC6NO6HOPA,SK7UESF5FJV6ZQQA3FOFWI3T2SOUITZ63JI7D65QHXKLZEYCWM6Q,175000000
ONTCQUBTVMBHXBF3JHRIRTLI2OHZZF5FOH5NO4R66OXNVAW3XDMPTZRHAY,3HTMHS3WOYTUPOPXCSEWTXNHTCIAJIFNMIOHGOZXEJASTEDW5T4A,453901614
KR65SJWGRPWFXE2F3XTZ5UPNCR2ALGOULGM5UFH2KHDOHOIDAUCNUZDFWQ,6H5R6Q7HGNX5JCKZ6VXDAREO45JH5HPDC55QQW7RKQGSTPMDBUUQ,208800000000
ECQB5WKW2BEAM6GDYINJYFNUPGRROVZTRP6CX4WAUWZL6H7GX4QKOV5SME,SI5CDTTUFJL2BICXFKOOMXZ7FM66DALIQSU2WP7FWVGKC5WTZRAA,12753434315
JVGFI5653YQIJ3DJPFDT3BH46S33OPQ6LMGFBMC6MWBZM2JVC7M6PBWBKU,AO457W7TOON6EKQ7HX7M52RFWY2UT2VADFN4JFJVSVHVZ5QHROCA,204005701643
KRMX5F6VGU5JSKXP6DGXXCZ56GSSPAHO6ULFGMPDLH7CY4IH2N27TACFKU,7A7JIHW34MUROTT4GQRKUJJN42AROZKM773FJLVD6UX5PKRROZQA,3568237151
MINTPIDR4NKZVHL6LB7ETVW35IZKXEV4U7D4LWFXVMKWSNGE4AZ6EYFAJA,OAWKEAUMDSAI3VKGVUHT2L3KCBLY7BGZYNF5OINLUNCVOS5ZCUFQ,5000000
SIMAHQAOASVV4ORQOOXL3RAQ7KJUGXFDMWMUOAZ5VIAZD2XVMGCZWI45KM,KPUHVSFIPXUF2WVL4J6DKNGVLI73SZBI2TYYI5DYLW7GE7J7AJ6A,2058272139
BHHF6QTNCUX3XQW6UGXBZIPXEUHN6HLLFSY4D6IRKAWPT7BVU4FXQABSI4,Z55FKDLOYDGLMUS47N4FV2Q3CUII36G5OO5PGEDJ7SW6K2DJZTXQ,83000000000
CRJV2WKCTAUI3R2NYWVNP2OX5ZT6MDN7YUGXD6XLDQ4AYAJNNUR2AUTE7M,3B5URAMQ4JQHLCIDMNSEN6LJNHML2PVHJUEAEOA6CWBI5RI7AN6A,49849403
BMG2OPCDNEVFG5LW4S6GT33PPEWXVJD7XEDLTED4BFWN5M4HXLZNCK3EWY,A5DP6AMP23PA535EGG452FGYEFWIFIMTX3PCTMVNHLSDZG2NY6PQ,20000000000
5M4VJ6BQI2KPKZG2KM4TV4FDU76KAJYU6456YZQHK4Y6FFXRPNP3EPRM7A,XOU6ILWCWAKA2BZN6ATVXTD7V5OUJCZL25F5DHCZ52M5PU2S6UEA,31875102035
KY7UXYQAN264YD24Y4YUYTGVZLRS7AHX6N6N7AF2OYK22DSOJ27GET2NYY,3AJB6YRPQ7HAQHEP5GAV6GDNKXJTHO3HZT5QAMO6VGJCJQDMJ4LQ,130000000000
HS4UDE2JA2VLAL3HWXC3QJMCG4XCINHQFFCXH2JXCHYWAHLWEAKY26Z2SI,CVWQJVUBC2CUOYFJF4B5YWKVQK2SGXJFOGCPNET743IN5FVBQO4A,1899915072
R2BPRCZNWG6NZPZFZP36DBSDPKSGUFMWVBHHBHOLZR65X2E5ZZLC4PHSSQ,LF7KXV7UL2LK27C3WWWB3RI7BBWP2XUVSLZED726KORVOJODH5SQ,972621140835
22ZC7F62Z3HXFP6FU3TRNF4VWXXNT44RCOEPQMGYDJFODXCNUKQLQTUGMI,PD4MZNQIJ2LMXV45T5DX7IJNDKJRPHXM7KROY7RF62RZFYZLVHBQ,4343436874
VLRA5ZZCV56D24PX4HJMA4KK7O6F62RWBETRXPXX6745AQC3BAT3FDKHRQ,C3TUZFO7FHX3XKFMVR42QSS2GGSNFFNE67DI37Y4RCFJCXHBWIOA,19000000
FISHERMANBPAHXQJEBJNIMMTBVNCOTXG6TUHYXQNE64FEJRVDTO3E3A43E,U7BNF46OOBPTMCFSAREHBXFTTM5UB72PGUALV3TS6MLE3XRWKO5A,1196804820
555EBDB7FCDMKZ2PRYUX3G2IWKU3I2HZG46TVTLFZ37VO55L4KIEKXB454,THH3X64OTOXWKU3O5RC2ICUOZAWHYG4LVRQSVYHYIHNR7LAZU6BA,11964885303
C5AN3H22ATPXVEPQILQQYPZWBXPI3E7OH4QSCKW7KWVIJXPG3KBN6WCSZ4,7DOE5MWWL335IQ6VB6QWLZGXD7HSOG5UYA5AKG7V27FYCDJDFVNQ,1632134520
25XJOAIDMH3ZT4Y7V2AX4DUB7OSHPTZHHVVHHXYVQRMBKXA7W2UZMKOGNQ,RY7JCZNN7NKUZQMDC2Y4NCITPAR77O2HXKQWHMT2IRHEDIJC2ZOQ,4304033068
6MEL7VBLBTMJSEQA3DMDMA3LRAJQNYR7VQZB3MHGSXGGXDEVMIPGVCNVUM,ITBZDLZ2NEUMJYJYHKRUDDSBH367BIDFIJUIO5K437272QBJMGTA,953289218
XADPV3PUOX6G2WPQ7X3K7BXC3K6W46BF5ZML4UYUF7FL55O4KWLV4OFJP4,3FFHEGT2CJQBWY45F5XUUE6YAL6APFNMLXFTOMUD2D5Z6D7L6ECQ,36075031295
RAWXV4MUATAQOXGS33EW5BQFPRQOHHRYS4E5VWFHVVDHAUUMFELZ2VGLGA,BSPEGYFGSF7RQRDA2NHXDO2FZDXDOFNCQOBT3QYRATCYZF6LU65Q,170000000000
XB6ICYSQ6TFR77JJE6OR4KLE4M7M4ISGF6NU3ZL7IBITUPFGO5DX374ZBM,ZPCFV7E75Q3R3UZGR4LOCKVOV5UIFSGA7XRTA4REL5SDOZCHLRRQ,250000000000
PARR5P54WZW5T5R2GKT37UVUZP6ZSNBR7V74RJNSA3US3ZAFP7XIKMTD5Y,AJQEMWL7KDWF3ADFZHDUJZLRYCHCIR3ETBNKIHFWO4WXPNQLAPOA,256082490611
KSV2LL337J25SELR34HSMAZGOY2LUN47T3WA3R6Q5KN33KA5KI4XWAG6AM,6VIYHVA34JJXA4EG7KHRDZKIPFSM3OB7TKPBOLV3GZ6JVJ67SIKA,42000000000
CYPM54U6RHEHQ7T3J5AVT3XEAJBVRDF6DXHPUGHI4J4BMECOBECKTY53XA,BHCWEJSKLP3U5Q3MZL6RHV4CLQQXYPC3FKGBO5OOX3EZTECSAYLA,14718101056
JHRF4XJLE7SDSRD4URZ6HGWM7RXMLLBZVX3BTQNI6PSDGFPC3LDEQA6XC4,7YBWNHSBK77K6TWN3OQTRFBH55S34EYWYZOSKIQW7WMX2Z7PMHLQ,32402469522
AWALLETCPHQPJGCZ6AHLIFPHWBHUEHQ7VBYJVVGQRRY4MEIGWUBKCQYP4Y,CEENFP3UFBH7HBZQB2PASKLAZPS4VSGKMSCXMW32AXTQU42TDNWA,13879970766
