Address,Transaction ID,Total Committed Amount in Algo,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov,period-15-voting-session-1-measure-1,period-15-voting-session-1-measure-2,period-15-voting-session-1-measure-3,period-15-voting-session-1-measure-4,period-15-voting-session-1-measure-5,period-15-voting-session-1-measure-6,period-15-voting-session-1-measure-7,period-15-voting-session-1-measure-8,period-15-voting-session-1-measure-9,period-15-voting-session-1-measure-10,period-15-voting-session-1-measure-11,period-15-voting-session-1-measure-12,period-15-voting-session-1-measure-13,period-15-voting-session-1-measure-14,period-15-voting-session-1-measure-15,period-15-voting-session-1-measure-16,period-15-voting-session-1-measure-17,period-15-voting-session-1-measure-18,period-15-voting-session-1-measure-19,period-15-voting-session-1-measure-20,period-15-voting-session-1-measure-21,period-15-voting-session-1-measure-22
BTV72TLOGSJHTWKSVMKUFUFJU2M6QJWMDUOMO4RCC42ALTF2HIKW6DQPDU,AKGUALI6DCBZNLOBNXRXST2HWC7RDYA5P2UVOEY6KHDWKDK5E43A,15083903800,15083903800,0,,2025-07-07 15:54:55.641519+00:00,,,No,{'a': 15083903800},{'a': 15083903800},{'a': 15083903800},{'b': 15083903800},{'a': 15083903800},{'a': 15083903800},{'a': 15083903800},{'b': 15083903800},{'a': 15083903800},{'a': 15083903800},{'c': 15083903800},{'b': 15083903800},{'b': 15083903800},{'a': 15083903800},{'a': 15083903800},{'a': 15083903800},{'b': 15083903800},{'b': 15083903800},{'b': 15083903800},{'b': 15083903800},{'c': 15083903800},{'a': 15083903800}
E35JOG2PKKPNVVC66ZUKUO2WG5ULJ2AENFFDUGDBEVNGHI6FBEVF6OPKAY,T2C762L6IL7SIMHE6B2VSZ7SN5ITBL4YOMPNPCG2LGZBJIRM6OWA,50000000000,50000000000,0,,2025-07-07 15:53:44.045084+00:00,,,No,{'a': 50000000000},{'a': 50000000000},{'a': 50000000000},{'b': 50000000000},{'a': 50000000000},{'a': 50000000000},{'a': 50000000000},{'b': 50000000000},{'a': 50000000000},{'a': 50000000000},{'c': 50000000000},{'b': 50000000000},{'b': 50000000000},{'a': 50000000000},{'a': 50000000000},{'a': 50000000000},{'b': 50000000000},{'b': 50000000000},{'b': 50000000000},{'c': 50000000000},{'b': 50000000000},{'a': 50000000000}
EE5FCRC2ERE7CDG6CW3QATJ46ERG7E4SHEIUCLJVZMTZOUFE643GECWD6Q,M35OVBII6F7S6YGF7GKMFOXLAKNQR2U2YJPENEQ2VELT6H3OKEUA,1122037508,1122037508,0,,2025-07-07 15:51:19.181661+00:00,,,No,{'c': 1122037508},{'a': 1122037508},{'c': 1122037508},{'b': 1122037508},{'c': 1122037508},{'c': 1122037508},{'c': 1122037508},{'c': 1122037508},{'a': 1122037508},{'b': 1122037508},{'c': 1122037508},{'c': 1122037508},{'c': 1122037508},{'a': 1122037508},{'a': 1122037508},{'a': 1122037508},{'b': 1122037508},{'c': 1122037508},{'b': 1122037508},{'c': 1122037508},{'c': 1122037508},{'a': 1122037508}
D4UCJ3UY2C4KE5DMBMMCGPFD6HWQSY4RBOOU6GZZ73TOKFNCLUSVDY3EXQ,6FXSRT27IQ6XUG22B3SO2W4PXCPAIJOBCSOA2J3JRCIKHO6VNY6A,4511249998,0,4511249998,,2025-07-07 15:51:19.127685+00:00,,,No,{'a': 4511249998},{'a': 4511249998},{'a': 4511249998},{'b': 4511249998},{'a': 4511249998},{'a': 4511249998},{'a': 4511249998},{'c': 4511249998},{'a': 4511249998},{'a': 4511249998},{'a': 4511249998},{'b': 4511249998},{'b': 4511249998},{'a': 4511249998},{'a': 4511249998},{'a': 4511249998},{'c': 4511249998},{'a': 4511249998},{'c': 4511249998},{'a': 4511249998},{'a': 4511249998},{'b': 4511249998}
N4KJNUHNFHNJ2EUKYGZS5KFEZ3BPVCXXXI36KSDBJ6BOEMSXITYWC37HBA,Z6LCHTCOSUDS27BOLR2GQB3BMDRQ7LHTGKPYU4AESVMMT3YWYRDQ,114659413097,0,114659413097,,2025-07-07 15:48:11.702573+00:00,,,No,{'a': 114659413097},{'a': 114659413097},{'a': 114659413097},{'b': 114659413097},{'a': 114659413097},{'a': 114659413097},{'a': 114659413097},{'c': 114659413097},{'a': 114659413097},{'a': 114659413097},{'c': 114659413097},{'b': 114659413097},{'c': 114659413097},{'a': 114659413097},{'a': 114659413097},{'a': 114659413097},{'b': 114659413097},{'a': 114659413097},{'b': 114659413097},{'c': 114659413097},{'a': 114659413097},{'b': 114659413097}
X5KD3VTDUN3H2FFYJX2NDIGQ2V2SS44XUSYGJWHI4KH6ZOXF44SE7KEXVU,JRPPQBT5LYDGSOYWAUOIVQHTRYRAFXYAVSKRURE2M44U62GASMQA,146931634,146931634,0,,2025-07-07 15:44:09.956301+00:00,,,No,{'a': 146931634},{'a': 146931634},{'a': 146931634},{'b': 146931634},{'a': 146931634},{'a': 146931634},{'a': 146931634},{'b': 146931634},{'a': 146931634},{'a': 146931634},{'b': 146931634},{'b': 146931634},{'b': 146931634},{'a': 146931634},{'a': 146931634},{'a': 146931634},{'b': 146931634},{'b': 146931634},{'b': 146931634},{'b': 146931634},{'b': 146931634},{'a': 146931634}
O5BWJF3DVPPUWOUVBH6HMYCNVIEJKTHGY7UDHUJ65JSPPE5QK2NE4SWQTE,J2MKVECDTX32HJGBY5YEPEYS4BMTBXJODFXOZTH2R73PBPVUVZQQ,30000000,30000000,0,,2025-07-07 15:39:05.364903+00:00,,,No,{'a': 30000000},{'a': 30000000},{'a': 30000000},{'b': 30000000},{'a': 30000000},{'a': 30000000},{'a': 30000000},{'b': 30000000},{'a': 30000000},{'c': 30000000},{'c': 30000000},{'b': 30000000},{'c': 30000000},{'a': 30000000},{'a': 30000000},{'a': 30000000},{'b': 30000000},{'b': 30000000},{'b': 30000000},{'c': 30000000},{'c': 30000000},{'a': 30000000}
RA7QMWV4OXIS7X7GMWR3L2YZGOBFHGBI3R6FMA2N7I5PAIBQXJSDZKI5YQ,34QDPLMAAOBB3CPYYN3IOWQ3US7X5JM3ASEG2R3ELKDMHPCXWXQQ,28535661415,28535661415,0,,2025-07-07 15:25:17.972135+00:00,,,No,{'a': 28535661415},{'a': 28535661415},{'a': 28535661415},{'b': 28535661415},{'a': 28535661415},{'a': 28535661415},{'b': 28535661415},{'b': 28535661415},{'b': 28535661415},{'a': 28535661415},{'b': 28535661415},{'b': 28535661415},{'b': 28535661415},{'a': 28535661415},{'a': 28535661415},{'a': 28535661415},{'b': 28535661415},{'b': 28535661415},{'b': 28535661415},{'b': 28535661415},{'a': 28535661415},{'a': 28535661415}
C3DQJVL6ZVGL6MZ6JBDBEKYEXRV5NCPZYJUJ3BLRDK6V7ETKYC6NO6HOPA,SK7UESF5FJV6ZQQA3FOFWI3T2SOUITZ63JI7D65QHXKLZEYCWM6Q,175000000,175000000,0,,2025-07-07 15:18:14.389430+00:00,,,No,{'a': 175000000},{'a': 175000000},{'a': 175000000},{'b': 175000000},{'a': 175000000},{'a': 175000000},{'a': 175000000},{'b': 175000000},{'a': 175000000},{'a': 175000000},{'a': 175000000},{'b': 175000000},{'c': 175000000},{'c': 175000000},{'a': 175000000},{'a': 175000000},{'b': 175000000},{'b': 175000000},{'c': 175000000},{'a': 175000000},{'a': 175000000},{'a': 175000000}
ONTCQUBTVMBHXBF3JHRIRTLI2OHZZF5FOH5NO4R66OXNVAW3XDMPTZRHAY,3HTMHS3WOYTUPOPXCSEWTXNHTCIAJIFNMIOHGOZXEJASTEDW5T4A,453901614,453901614,0,,2025-07-07 15:13:37.429648+00:00,,,No,{'a': 453901614},{'c': 453901614},{'a': 453901614},{'b': 453901614},{'a': 453901614},{'a': 453901614},{'a': 453901614},{'b': 453901614},{'a': 453901614},{'c': 453901614},{'a': 453901614},{'b': 453901614},{'b': 453901614},{'c': 453901614},{'a': 453901614},{'a': 453901614},{'b': 453901614},{'a': 453901614},{'b': 453901614},{'a': 453901614},{'a': 453901614},{'a': 453901614}
